gkz_arbeit,gkz_wohn,pendler
08111000,08136070,17
08111000,08136079,156
08111000,08136082,45
08111000,08136084,12
08111000,08136088,639
08111000,08136089,28
08111000,08211000,480
08111000,08212000,2201
08111000,08215007,169
08111000,08215009,336
08111000,08215017,228
08111000,08215021,49
08111000,08215025,29
08111000,08215029,19
08111000,08215039,23
08111000,08215040,16
08111000,08215046,71
08111000,08215047,38
08111000,08215059,61
08111000,08215064,37
08111000,08215066,48
08111000,08215082,22
08111000,08215084,63
08111000,08215089,64
08111000,08215090,67
08111000,08215096,105
08111000,08215097,75
08111000,08215099,58
08111000,08215100,48
08111000,08215101,144
08111000,08215102,84
08111000,08215103,56
08111000,08215105,62
08111000,08215106,81
08111000,08215107,18
08111000,08215108,101
08111000,08215109,139
08111000,08215110,86
08111000,08215111,30
08111000,08216002,14
08111000,08216005,56
08111000,08216006,14
08111000,08216007,97
08111000,08216008,27
08111000,08216009,57
08111000,08216012,12
08111000,08216013,11
08111000,08216015,93
08111000,08216017,68
08111000,08216022,13
08111000,08216023,30
08111000,08216024,30
08111000,08216028,10
08111000,08216029,10
08111000,08216033,31
08111000,08216039,27
08111000,08216043,169
08111000,08216049,51
08111000,08216052,15
08111000,08216063,17
08111000,08221000,589
08111000,08222000,1075
08111000,08225001,31
08111000,08225002,15
08111000,08225009,23
08111000,08225014,56
08111000,08225024,16
08111000,08225033,23
08111000,08225042,10
08111000,08225052,10
08111000,08225058,84
08111000,08225060,10
08111000,08225064,10
08111000,08225074,14
08111000,08225075,21
08111000,08225082,15
08111000,08225091,19
08111000,08225114,19
08111000,08225115,25
08111000,08225117,22
08111000,08226003,15
08111000,08226006,19
08111000,08226009,22
08111000,08226010,23
08111000,08226012,34
08111000,08226013,18
08111000,08226018,39
08111000,08226032,67
08111000,08226037,36
08111000,08226041,88
08111000,08226046,12
08111000,08226054,30
08111000,08226055,15
08111000,08226056,34
08111000,08226059,19
08111000,08226060,21
08111000,08226062,18
08111000,08226063,26
08111000,08226065,35
08111000,08226068,25
08111000,08226076,46
08111000,08226082,40
08111000,08226084,93
08111000,08226085,104
08111000,08226091,18
08111000,08226095,50
08111000,08226096,78
08111000,08226098,63
08111000,08226102,13
08111000,08226103,43
08111000,08226105,47
08111000,08226106,11
08111000,08231000,1324
08111000,08235006,98
08111000,08235007,387
08111000,08235008,323
08111000,08235018,12
08111000,08235020,75
08111000,08235022,22
08111000,08235029,168
08111000,08235032,56
08111000,08235033,54
08111000,08235035,13
08111000,08235046,418
08111000,08235047,91
08111000,08235050,37
08111000,08235055,54
08111000,08235057,148
08111000,08235060,38
08111000,08235065,85
08111000,08235066,15
08111000,08235067,218
08111000,08235073,43
08111000,08235079,88
08111000,08235080,338
08111000,08235084,68
08111000,08235085,629
08111000,08236004,95
08111000,08236011,39
08111000,08236013,37
08111000,08236019,296
08111000,08236025,425
08111000,08236028,423
08111000,08236030,73
08111000,08236031,42
08111000,08236033,80
08111000,08236038,143
08111000,08236039,173
08111000,08236040,762
08111000,08236043,43
08111000,08236044,181
08111000,08236046,183
08111000,08236050,109
08111000,08236061,44
08111000,08236062,250
08111000,08236065,291
08111000,08236067,179
08111000,08236068,83
08111000,08236070,71
08111000,08236071,89
08111000,08236072,61
08111000,08236073,78
08111000,08236074,70
