key,ort
08435013,Eriskirch
08116018,Erkenbrechtsweiler
08125027,Erlenbach
08426043,Erlenmoos
08118015,Erligheim
08426044,Erolzheim
08426045,Ertingen
08136020,Eschach
08315033,Eschbach
08325071,Eschbronn
08226020,Eschelbronn
08117020,Eschenbach
08136021,Essingen
08116019,Esslingen am Neckar
08317026,Ettenheim
08215017,Ettlingen
08237027,Eutingen im Gäu
08225024,Fahrenbach
08315037,Feldberg (Schwarzwald)
08119020,Fellbach
08127102,Fichtenau
08127023,Fichtenberg
08116077,Filderstadt
08317029,Fischerbach
08336024,Fischingen
08125030,Flein
08436032,Fleischwangen
08325070,Fluorn-Winzeln
08216013,Forbach
08316013,Forchheim
08126028,Forchtenberg
08215021,Forst
08127103,Frankenhardt
08316054,Freiamt
08118078,Freiberg am Neckar
08311000,Freiburg im Breisgau
08128039,Freudenberg
08237028,Freudenstadt
08118016,Freudental
08116020,Frickenhausen
08435015,Frickingen
08327016,Fridingen an der Donau
08315039,Friedenweiler
08435016,Friedrichshafen
08317031,Friesenheim
08236019,Friolzheim
08327017,Frittlingen
08436096,Fronreute
08336025,Fröhnd
08326017,Furtwangen im Schwarzwald
08216015,Gaggenau
08226022,Gaiberg
08335025,Gaienhofen
08127025,Gaildorf
08335026,Gailingen am Hochrhein
08117023,Gammelshausen
08437031,Gammertingen
08235029,Gechingen
08327018,Geisingen
08417022,Geislingen
08117024,Geislingen an der Steige
08125034,Gemmingen
08118018,Gemmrigheim
08317034,Gengenbach
08127032,Gerabronn
08118019,Gerlingen
08216017,Gernsbach
08135015,Gerstetten
08135016,Giengen an der Brenz
08117025,Gingen an der Fils
08237030,Glatten
08315041,Glottertal
08415027,Gomadingen
08416015,Gomaringen
08215025,Gondelsheim
08327019,Gosheim
08315043,Gottenheim
08335028,Gottmadingen
08215099,Graben-Neudorf
08415028,Grabenstetten
08115054,Grafenau
08415029,Grafenberg
08337039,Grafenhausen
08336105,Grenzach-Wyhlen
08425050,Griesingen
08417023,Grosselfingen
08116022,Großbettlingen
08118021,Großbottwar
08119024,Großerlach
08128045,Großrinderfeld
08117028,Gruibingen
08425052,Grundsheim
08237032,Grömbach
08436039,Grünkraut
08128047,Grünsfeld
08136027,Gschwend
08436040,Guggenhausen
08315047,Gundelfingen
08125039,Gundelsheim
08327020,Gunningen
08317039,Gutach (Schwarzwaldbahn)
08316014,Gutach im Breisgau
08426135,Gutenzell-Hürbel
08115015,Gärtringen
08115016,Gäufelden
08136024,Göggingen
08117026,Göppingen
08337038,Görwihl
08125038,Güglingen
08326020,Gütenbach
08435018,Hagnau am Bodensee
08417025,Haigerloch
08235032,Haiterbach
08215029,Hambrücken
08225032,Hardheim
08325024,Hardt
08125111,Hardthausen am Kocher
08315048,Hartheim am Rhein
08336034,Hasel
08317040,Haslach im Kinzigtal
08117029,Hattenhofen
08317041,Hausach
08425055,Hausen am Bussen
08417029,Hausen am Tann
08336036,Hausen im Wiesental
08327023,Hausen ob Verena
08415034,Hayingen
08225033,Haßmersheim
08417031,Hechingen
08226027,Heddesbach
08226028,Heddesheim
08221000,Heidelberg
08135019,Heidenheim an der Brenz
08121000,Heilbronn
08435020,Heiligenberg
08226029,Heiligkreuzsteinach
08236025,Heimsheim
08117030,Heiningen
08315050,Heitersheim
08226106,Helmstadt-Bargen
08118027,Hemmingen
08226031,Hemsbach
08437044,Herbertingen
08316017,Herbolzheim
08135020,Herbrechtingen
08437124,Herdwangen-Schönach
08135021,Hermaringen
08425139,Heroldstatt
08115021,Herrenberg
08337049,Herrischried
08118028,Hessigheim
08437047,Hettingen
08136028,Heubach
08136029,Heuchlingen
08315051,Heuweiler
08115022,Hildrizhausen
08335035,Hilzingen
08315052,Hinterzarten
08416018,Hirrlingen
08226107,Hirschberg an der Bergstraße
08116027,Hochdorf
08426058,Hochdorf
08226032,Hockenheim
08317046,Hofstetten
08317047,Hohberg
08335096,Hohenfels
08117031,Hohenstadt
08415090,Hohenstein
08437053,Hohentengen
08337053,Hohentengen am Hochrhein
08115024,Holzgerlingen
08425062,Holzkirch
08116029,Holzmaden
08237040,Horb am Neckar
08315056,Horben
08436095,Horgenzell
08317051,Hornberg
08436047,Hoßkirch
08336106,Häg-Ehrsberg
08337045,Häusern
08337051,Höchenschwand
08235035,Höfen an der Enz
08225039,Höpfingen
08225042,Hüffenhardt
08326027,Hüfingen
08216022,Hügelsheim
08415039,Hülben
08425064,Hüttisheim
08136033,Hüttlingen
08337059,Ibach
08216023,Iffezheim
08128058,Igersheim
08136034,Iggingen
08315059,Ihringen
08425137,Illerkirchberg
08425066,Illerrieden
08236028,Illingen
08437056,Illmensee
08125046,Ilsfeld
08127043,Ilshofen
08226036,Ilvesheim
08327025,Immendingen
08435024,Immenstaad am Bodensee
08126039,Ingelfingen
08118077,Ingersheim
08426062,Ingoldingen
08437059,Inzigkofen
08336043,Inzlingen
08327027,Irndorf
08436049,Isny im Allgäu
08236030,Ispringen
08125047,Ittlingen
08125048,Jagsthausen
08136035,Jagstzell
08337060,Jestetten
08115053,Jettingen
08417036,Jungingen
08119037,Kaisersbach
08336045,Kandern
08426064,Kanzach
08317152,Kappel-Grafenhausen
08317056,Kappelrodeck
08215096,Karlsbad
08215103,Karlsdorf-Neuthard
08212000,Karlsruhe
08317057,Kehl
08236070,Keltern
08316020,Kenzingen
08119093,Kernen im Remstal
08226037,Ketsch
08236031,Kieselbronn
08317059,Kippenheim
08125049,Kirchardt
08426065,Kirchberg an der Iller
08127046,Kirchberg an der Jagst
08119038,Kirchberg an der Murr
08426066,Kirchdorf an der Iller
08416022,Kirchentellinsfurt
08118040,Kirchheim am Neckar
08136037,Kirchheim am Ries
08116033,Kirchheim unter Teck
08315064,Kirchzarten
08436052,Kißlegg
08336107,Kleines Wiesental
08337062,Klettgau
08236033,Knittlingen
08116036,Kohlberg
08327030,Kolbingen
08335043,Konstanz
08119041,Korb
08118080,Korntal-Münchingen
08118046,Kornwestheim
08215097,Kraichtal
08437065,Krauchenwies
08126045,Krautheim
08435029,Kressbronn am Bodensee
08127101,Kreßberg
08215039,Kronau
08117033,Kuchen
08126047,Kupferzell
08216024,Kuppenheim
08416023,Kusterdingen
08236074,Kämpfelbach
08116035,Köngen
08128061,Königheim
08236076,Königsbach-Stein
08135025,Königsbronn
08436053,Königseggwald
08326031,Königsfeld im Schwarzwald
08327029,Königsheim
08128064,Külsheim
08126046,Künzelsau
08215040,Kürnbach
08337125,Küssaberg
08226038,Ladenburg
08317065,Lahr/Schwarzwald
08425071,Laichingen
08435030,Langenargen
08425072,Langenau
08125113,Langenbrettach
08127047,Langenburg
08426067,Langenenslingen
08136038,Lauchheim
08337065,Lauchringen
08128139,Lauda-Königshofen
08226040,Laudenbach
08317068,Lauf
08337066,Laufenburg (Baden)
08125056,Lauffen am Neckar
08426070,Laupheim
08317067,Lautenbach
08425073,Lauterach
08325036,Lauterbach
08117061,Lauterstein
08125057,Lehrensteinsfeld
08437072,Leibertingen
08226041,Leimen
08116078,Leinfelden-Echterdingen
08125058,Leingarten
08136040,Leinzell
08116079,Lenningen
08315068,Lenzkirch
08115028,Leonberg
08119042,Leutenbach
08436055,Leutkirch im Allgäu
08216028,Lichtenau
08415092,Lichtenstein
08116037,Lichtenwald
08225052,Limbach
08215105,Linkenheim-Hochstetten
08226104,Lobbach
08216029,Loffenau
08425075,Lonsee
08136042,Lorch
08337070,Lottstetten
08237045,Loßburg
08118048,Ludwigsburg
08118047,Löchgau
08315070,Löffingen
08336050,Lörrach
08125059,Löwenstein
08115029,Magstadt
08317073,Mahlberg
08327033,Mahlstetten
08127052,Mainhardt
08336104,Malsburg-Marzell
08215046,Malsch
08226046,Malsch
08316024,Malterdingen
08222000,Mannheim
08118049,Marbach am Neckar
08315132,March
08435034,Markdorf
08118050,Markgröningen
08215047,Marxzell
08426071,Maselheim
08125061,Massenbachhausen
08226048,Mauer
08236038,Maulbronn
08336057,Maulburg
08435035,Meckenbeuren
08226049,Meckesheim
08435036,Meersburg
08415048,Mehrstetten
08317075,Meißenheim
08437076,Mengen
08315072,Merdingen
08425079,Merklingen
08315073,Merzhausen
08415050,Metzingen
08437078,Meßkirch
08417044,Meßstetten
08127056,Michelbach an der Bilz
08127059,Michelfeld
08426073,Mietingen
08426074,Mittelbiberach
08335055,Moos
08426078,Moosburg
08225058,Mosbach
08225060,Mudau
08216033,Muggensturm
08126056,Mulfingen
08118053,Mundelsheim
08425081,Munderkingen
08337076,Murg
08118054,Murr
08119044,Murrhardt
08136044,Mutlangen
08125063,Möckmühl
08136043,Mögglingen
08118051,Möglingen
08326037,Mönchweiler
08236039,Mönsheim
08416025,Mössingen
08115034,Mötzingen
08236040,Mühlacker
08317078,Mühlenbach
08226054,Mühlhausen
08117035,Mühlhausen im Täle
08335097,Mühlhausen-Ehingen
08327036,Mühlheim an der Donau
08335057,Mühlingen
08315074,Müllheim
